Ticker,Fri->Thu(+1w)@90.0%,Fri->Thu(+1w)@90.5%,Fri->Thu(+1w)@91.0%,Fri->Thu(+1w)@91.5%,Fri->Thu(+1w)@92.0%,Fri->Thu(+1w)@92.5%,Fri->Thu(+1w)@93.0%,Fri->Thu(+1w)@93.5%,Fri->Thu(+1w)@94.0%,Fri->Thu(+1w)@94.5%,Fri->Thu(+1w)@95.0%,Fri->Thu(+1w)@95.5%,Fri->Thu(+1w)@96.0%,Fri->Thu(+1w)@96.5%,Fri->Thu(+1w)@97.0%,Fri->Thu(+1w)@97.5%,Fri->Thu(+1w)@98.0%,Fri->Thu(+1w)@98.5%,Fri->Thu(+1w)@99.0%,Fri->Thu(+1w)@99.5%,Fri->Tue(+1w)@90.0%,Fri->Tue(+1w)@90.5%,Fri->Tue(+1w)@91.0%,Fri->Tue(+1w)@91.5%,Fri->Tue(+1w)@92.0%,Fri->Tue(+1w)@92.5%,Fri->Tue(+1w)@93.0%,Fri->Tue(+1w)@93.5%,Fri->Tue(+1w)@94.0%,Fri->Tue(+1w)@94.5%,Fri->Tue(+1w)@95.0%,Fri->Tue(+1w)@95.5%,Fri->Tue(+1w)@96.0%,Fri->Tue(+1w)@96.5%,Fri->Tue(+1w)@97.0%,Fri->Tue(+1w)@97.5%,Fri->Tue(+1w)@98.0%,Fri->Tue(+1w)@98.5%,Fri->Tue(+1w)@99.0%,Fri->Tue(+1w)@99.5%,Fri->Wed(+1w)@90.0%,Fri->Wed(+1w)@90.5%,Fri->Wed(+1w)@91.0%,Fri->Wed(+1w)@91.5%,Fri->Wed(+1w)@92.0%,Fri->Wed(+1w)@92.5%,Fri->Wed(+1w)@93.0%,Fri->Wed(+1w)@93.5%,Fri->Wed(+1w)@94.0%,Fri->Wed(+1w)@94.5%,Fri->Wed(+1w)@95.0%,Fri->Wed(+1w)@95.5%,Fri->Wed(+1w)@96.0%,Fri->Wed(+1w)@96.5%,Fri->Wed(+1w)@97.0%,Fri->Wed(+1w)@97.5%,Fri->Wed(+1w)@98.0%,Fri->Wed(+1w)@98.5%,Fri->Wed(+1w)@99.0%,Fri->Wed(+1w)@99.5%,Mon->Thu@90.0%,Mon->Thu@90.5%,Mon->Thu@91.0%,Mon->Thu@91.5%,Mon->Thu@92.0%,Mon->Thu@92.5%,Mon->Thu@93.0%,Mon->Thu@93.5%,Mon->Thu@94.0%,Mon->Thu@94.5%,Mon->Thu@95.0%,Mon->Thu@95.5%,Mon->Thu@96.0%,Mon->Thu@96.5%,Mon->Thu@97.0%,Mon->Thu@97.5%,Mon->Thu@98.0%,Mon->Thu@98.5%,Mon->Thu@99.0%,Mon->Thu@99.5%,Mon->Tue@90.0%,Mon->Tue@90.5%,Mon->Tue@91.0%,Mon->Tue@91.5%,Mon->Tue@92.0%,Mon->Tue@92.5%,Mon->Tue@93.0%,Mon->Tue@93.5%,Mon->Tue@94.0%,Mon->Tue@94.5%,Mon->Tue@95.0%,Mon->Tue@95.5%,Mon->Tue@96.0%,Mon->Tue@96.5%,Mon->Tue@97.0%,Mon->Tue@97.5%,Mon->Tue@98.0%,Mon->Tue@98.5%,Mon->Tue@99.0%,Mon->Tue@99.5%,Mon->Wed@90.0%,Mon->Wed@90.5%,Mon->Wed@91.0%,Mon->Wed@91.5%,Mon->Wed@92.0%,Mon->Wed@92.5%,Mon->Wed@93.0%,Mon->Wed@93.5%,Mon->Wed@94.0%,Mon->Wed@94.5%,Mon->Wed@95.0%,Mon->Wed@95.5%,Mon->Wed@96.0%,Mon->Wed@96.5%,Mon->Wed@97.0%,Mon->Wed@97.5%,Mon->Wed@98.0%,Mon->Wed@98.5%,Mon->Wed@99.0%,Mon->Wed@99.5%
AAV.BK,0,0,0,0,0,0,1,1,1,2,4,8,9,10,14,29,38,53,76,115,0,0,0,0,0,0,1,1,1,2,4,8,9,10,13,28,37,50,75,115,0,0,0,0,0,0,1,1,1,2,4,8,9,10,14,28,36,50,76,116,1,1,1,1,1,1,1,1,1,3,6,6,6,13,20,30,38,54,66,104,1,1,1,1,1,1,1,1,1,3,6,6,6,13,20,30,40,56,67,106,1,1,1,1,1,1,1,1,1,3,6,6,6,13,20,30,40,56,68,104
ADVANC.BK,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,8,15,28,49,81,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,8,15,28,48,81,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,14,26,48,81,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,5,9,17,42,67,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,5,9,17,42,67,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,5,9,17,42,68
AEONTS.BK,0,0,0,0,0,1,1,1,1,1,1,2,3,6,9,18,28,42,63,96,0,0,0,0,0,1,1,1,1,1,1,2,3,6,9,18,27,42,63,96,0,0,0,0,0,0,0,0,0,0,0,1,2,5,8,17,27,42,63,97,0,0,0,0,0,0,0,0,0,0,0,1,3,6,9,16,26,44,65,86,0,0,0,0,0,0,0,0,0,0,0,1,3,7,10,17,27,45,67,88,0,0,0,0,0,0,0,0,0,0,0,1,2,6,9,16,26,44,65,87
AMATA.BK,1,1,1,1,1,1,2,2,2,5,5,6,9,15,16,20,28,48,68,93,1,1,1,1,1,1,1,1,1,4,4,5,8,14,15,19,27,49,69,91,1,1,1,1,1,1,2,2,2,5,5,6,9,14,15,19,27,50,70,93,0,0,0,1,1,1,1,2,2,2,2,4,6,7,13,22,30,46,60,81,0,0,0,1,1,1,1,2,2,2,3,6,8,9,15,23,31,46,61,83,0,0,0,1,1,1,1,2,2,2,3,6,8,9,15,23,31,47,62,83
AOT.BK,2,2,2,2,2,2,2,3,3,4,4,6,8,8,9,12,19,31,53,82,2,2,2,2,2,2,2,3,3,4,4,6,8,8,10,14,19,30,51,79,2,2,2,2,2,2,2,3,3,4,4,6,8,8,10,14,21,33,53,82,0,0,1,1,1,1,1,1,1,2,3,3,3,6,12,16,18,26,50,75,0,0,1,1,1,1,1,1,1,2,3,3,3,6,12,17,19,27,50,76,0,0,1,1,1,1,1,1,1,2,3,3,3,5,11,16,18,26,50,75
AP.BK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,18,23,51,65,105,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,18,23,53,65,106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,18,23,52,67,108,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,15,21,44,53,95,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,15,20,44,53,96,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,15,21,44,53,96
AURA.BK,0,0,0,0,0,0,0,0,0,1,2,4,7,8,14,24,37,48,82,116,0,0,0,0,0,0,0,0,0,1,2,4,7,8,13,23,38,49,84,116,0,0,0,0,0,0,0,0,0,1,2,4,7,8,14,24,38,49,84,118,0,0,0,0,2,2,2,2,2,2,3,4,7,9,15,21,38,46,69,95,0,0,0,0,2,2,2,2,2,2,3,4,7,9,14,21,38,47,69,96,0,0,0,0,2,2,2,2,2,2,3,4,7,9,15,22,40,49,71,97
AWC.BK,0,0,1,1,1,2,2,2,2,2,4,4,9,15,26,38,48,75,92,122,0,0,1,1,1,2,2,2,2,2,4,4,9,15,25,38,48,76,90,121,0,0,1,1,1,2,2,2,2,2,4,4,9,16,27,40,49,75,91,123,0,0,0,0,0,0,0,0,0,0,1,3,6,8,15,24,36,53,65,95,0,0,0,0,0,0,0,0,0,0,1,3,6,8,16,25,38,54,65,97,0,0,0,0,0,0,0,0,0,0,1,3,6,8,16,25,37,55,65,95
BA.BK,0,0,0,0,0,0,1,3,3,3,4,5,10,14,18,29,44,57,79,106,0,0,0,0,0,0,1,3,3,3,4,5,10,14,17,29,44,57,78,106,0,0,0,0,0,0,1,3,3,3,4,5,10,14,18,30,46,59,80,108,1,1,1,1,1,1,1,2,3,5,5,6,9,17,21,29,42,51,78,97,1,1,1,1,1,1,1,2,3,5,5,6,9,16,21,29,42,52,79,99,1,1,1,1,1,1,1,2,3,5,5,6,9,17,22,30,43,53,79,99
BAM.BK,0,0,0,0,0,0,0,0,0,1,3,6,6,12,19,29,43,62,76,120,0,0,0,0,0,0,0,0,0,1,3,6,6,12,20,30,43,61,77,120,0,0,0,0,0,0,0,0,0,1,3,5,5,11,19,28,42,61,77,121,0,0,0,0,0,0,0,1,1,1,2,6,8,15,19,25,37,59,77,108,0,0,0,0,0,0,0,1,1,1,2,6,8,15,19,25,39,60,79,109,0,0,0,0,0,0,0,1,1,1,2,6,8,15,19,25,39,59,76,108
