Ticker,Fri->Thu(+1w)@90.0%,Fri->Thu(+1w)@90.5%,Fri->Thu(+1w)@91.0%,Fri->Thu(+1w)@91.5%,Fri->Thu(+1w)@92.0%,Fri->Thu(+1w)@92.5%,Fri->Thu(+1w)@93.0%,Fri->Thu(+1w)@93.5%,Fri->Thu(+1w)@94.0%,Fri->Thu(+1w)@94.5%,Fri->Thu(+1w)@95.0%,Fri->Thu(+1w)@95.5%,Fri->Thu(+1w)@96.0%,Fri->Thu(+1w)@96.5%,Fri->Thu(+1w)@97.0%,Fri->Thu(+1w)@97.5%,Fri->Thu(+1w)@98.0%,Fri->Thu(+1w)@98.5%,Fri->Thu(+1w)@99.0%,Fri->Thu(+1w)@99.5%,Fri->Tue(+1w)@90.0%,Fri->Tue(+1w)@90.5%,Fri->Tue(+1w)@91.0%,Fri->Tue(+1w)@91.5%,Fri->Tue(+1w)@92.0%,Fri->Tue(+1w)@92.5%,Fri->Tue(+1w)@93.0%,Fri->Tue(+1w)@93.5%,Fri->Tue(+1w)@94.0%,Fri->Tue(+1w)@94.5%,Fri->Tue(+1w)@95.0%,Fri->Tue(+1w)@95.5%,Fri->Tue(+1w)@96.0%,Fri->Tue(+1w)@96.5%,Fri->Tue(+1w)@97.0%,Fri->Tue(+1w)@97.5%,Fri->Tue(+1w)@98.0%,Fri->Tue(+1w)@98.5%,Fri->Tue(+1w)@99.0%,Fri->Tue(+1w)@99.5%,Fri->Wed(+1w)@90.0%,Fri->Wed(+1w)@90.5%,Fri->Wed(+1w)@91.0%,Fri->Wed(+1w)@91.5%,Fri->Wed(+1w)@92.0%,Fri->Wed(+1w)@92.5%,Fri->Wed(+1w)@93.0%,Fri->Wed(+1w)@93.5%,Fri->Wed(+1w)@94.0%,Fri->Wed(+1w)@94.5%,Fri->Wed(+1w)@95.0%,Fri->Wed(+1w)@95.5%,Fri->Wed(+1w)@96.0%,Fri->Wed(+1w)@96.5%,Fri->Wed(+1w)@97.0%,Fri->Wed(+1w)@97.5%,Fri->Wed(+1w)@98.0%,Fri->Wed(+1w)@98.5%,Fri->Wed(+1w)@99.0%,Fri->Wed(+1w)@99.5%,Mon->Thu@90.0%,Mon->Thu@90.5%,Mon->Thu@91.0%,Mon->Thu@91.5%,Mon->Thu@92.0%,Mon->Thu@92.5%,Mon->Thu@93.0%,Mon->Thu@93.5%,Mon->Thu@94.0%,Mon->Thu@94.5%,Mon->Thu@95.0%,Mon->Thu@95.5%,Mon->Thu@96.0%,Mon->Thu@96.5%,Mon->Thu@97.0%,Mon->Thu@97.5%,Mon->Thu@98.0%,Mon->Thu@98.5%,Mon->Thu@99.0%,Mon->Thu@99.5%,Mon->Tue@90.0%,Mon->Tue@90.5%,Mon->Tue@91.0%,Mon->Tue@91.5%,Mon->Tue@92.0%,Mon->Tue@92.5%,Mon->Tue@93.0%,Mon->Tue@93.5%,Mon->Tue@94.0%,Mon->Tue@94.5%,Mon->Tue@95.0%,Mon->Tue@95.5%,Mon->Tue@96.0%,Mon->Tue@96.5%,Mon->Tue@97.0%,Mon->Tue@97.5%,Mon->Tue@98.0%,Mon->Tue@98.5%,Mon->Tue@99.0%,Mon->Tue@99.5%,Mon->Wed@90.0%,Mon->Wed@90.5%,Mon->Wed@91.0%,Mon->Wed@91.5%,Mon->Wed@92.0%,Mon->Wed@92.5%,Mon->Wed@93.0%,Mon->Wed@93.5%,Mon->Wed@94.0%,Mon->Wed@94.5%,Mon->Wed@95.0%,Mon->Wed@95.5%,Mon->Wed@96.0%,Mon->Wed@96.5%,Mon->Wed@97.0%,Mon->Wed@97.5%,Mon->Wed@98.0%,Mon->Wed@98.5%,Mon->Wed@99.0%,Mon->Wed@99.5%
AAV.BK,,,,,,,-0.066214,-0.071207,-0.076148,-0.054786,-0.05482,-0.023459,-0.01919,-0.020423,-0.029214,-0.028517,-0.015903,-0.017284,-0.021655,-0.016375,,,,,,,-0.087436,-0.092316,-0.097144,-0.052218,-0.047851,-0.035897,-0.031742,-0.030191,-0.032902,-0.032006,-0.015544,-0.017173,-0.019963,-0.017368,,,,,,,-0.122807,-0.127498,-0.132139,-0.07396,-0.063364,-0.032735,-0.026616,-0.027071,-0.030991,-0.029534,-0.011099,-0.013453,-0.017746,-0.014359,0.021242,0.0156,0.010019,0.0045,-0.000959,-0.006359,-0.011701,-0.016986,-0.022215,-0.023266,-0.008676,-0.013866,-0.019002,-0.007893,-0.016786,-0.021152,-0.023071,-0.008686,-0.011846,-0.014247,0.013072,0.007475,0.001939,-0.003536,-0.008951,-0.014308,-0.019608,-0.024851,-0.030038,-0.000861,-0.003573,-0.00879,-0.013952,-0.021863,-0.023164,-0.025348,-0.024642,-0.012712,-0.016402,-0.013836,0.037582,0.031849,0.02618,0.020572,0.015026,0.009539,0.004111,-0.001258,-0.006571,0.006327,0.000957,-0.004283,-0.009469,-0.011775,-0.01814,-0.022476,-0.023189,-0.010494,-0.014382,-0.012623
ADVANC.BK,,,,,,,,,,,-0.02587,-0.03097,-0.036017,0.004553,-0.000625,0.005736,5.6e-05,-0.001285,0.005519,-5.3e-05,,,,,,,,,,,0.013381,0.008075,0.002825,0.012569,0.007349,-0.000555,0.009238,0.007169,-0.001885,-0.005734,,,,,,,,,,,,,,0.022101,0.016833,0.010446,0.010129,0.007072,0.001456,-0.00392,,,,,,,,,,,0.000474,-0.004764,-0.003982,-0.009142,-0.008391,-0.011556,-0.009867,-0.010048,0.006241,-0.00184,,,,,,,,,,,0.000474,-0.004764,-0.008942,-0.014077,-0.013639,-0.018684,-0.013005,-0.012508,-0.006368,-0.007137,,,,,,,,,,,0.014699,0.009386,0.000576,-0.004608,-0.006161,-0.011256,-0.004749,-0.00709,-0.001265,-0.004298
AEONTS.BK,,,,,,0.032819,0.027266,0.021772,0.016337,0.01096,0.005639,-0.000604,0.015455,0.000835,-0.013637,0.011909,-0.00786,-0.012045,-0.013827,-0.013665,,,,,,0.037645,0.032066,0.026547,0.021087,0.015684,0.010338,-0.021401,-0.015562,-0.010692,-0.0086,-0.005981,-0.012475,-0.015432,-0.010255,-0.010867,,,,,,,,,,,,-0.045416,-0.0098,-0.007471,-0.01188,-0.000415,-0.010427,-0.015512,-0.013264,-0.01269,,,,,,,,,,,,0.004284,-0.006775,-0.018031,-0.006667,-0.006352,-0.002374,-0.008798,-0.00918,-0.013125,,,,,,,,,,,,-0.000476,0.009622,-0.004852,-0.009427,-0.009706,-0.011096,-0.014663,-0.013692,-0.012627,,,,,,,,,,,,0.018563,-0.027902,-0.01496,-0.008731,-0.010308,-0.008717,-0.011278,-0.010133,-0.012278
AMATA.BK,-0.095607,-0.100604,-0.105546,-0.110433,-0.115268,-0.12005,-0.005417,-0.010735,-0.015998,0.006068,0.000773,-0.00066,-0.006368,-0.007088,-0.00951,-0.002175,-0.006261,-0.002004,-0.002856,-0.009645,-0.153747,-0.158422,-0.163046,-0.16762,-0.172144,-0.176618,-0.181045,-0.185425,-0.189758,-0.045101,-0.050127,-0.04369,-0.027315,-0.033159,-0.03708,-0.0231,-0.025571,-0.022695,-0.022,-0.021845,-0.276486,-0.280483,-0.284436,-0.288347,-0.292214,-0.29604,-0.12775,-0.132414,-0.137029,-0.047739,-0.052751,-0.046398,-0.033419,-0.032439,-0.036158,-0.017404,-0.018598,-0.01673,-0.015667,-0.018724,,,,0.023432,0.01787,0.012368,0.006925,-0.003651,-0.00895,-0.014194,-0.019382,-0.011871,-0.016056,-0.023585,-0.025239,-0.022914,-0.021147,-0.025334,-0.026465,-0.014929,,,,0.000278,-0.005158,-0.010536,-0.015856,-0.02557,-0.013649,-0.018868,-0.026934,-0.021633,-0.024423,-0.02988,-0.029625,-0.028516,-0.026219,-0.026633,-0.026005,-0.019042,,,,0.014171,0.008659,0.003207,-0.002187,-0.012418,-0.004452,-0.009719,-0.011869,-0.01984,-0.021586,-0.028399,-0.028326,-0.02925,-0.028374,-0.030563,-0.028731,-0.018495
AOT.BK,-0.089771,-0.0948,-0.099774,-0.104693,-0.109559,-0.114372,-0.119133,-0.081128,-0.086015,-0.049131,-0.054135,-0.040156,-0.038277,-0.04326,-0.03075,-0.027032,-0.014961,-0.007489,-0.012145,-0.008111,-0.085397,-0.09045,-0.095447,-0.10039,-0.105279,-0.110116,-0.1149,-0.091364,-0.096197,-0.064192,-0.069117,-0.063119,-0.06013,-0.065,-0.047913,-0.041578,-0.032495,-0.02604,-0.02197,-0.017777,-0.076648,-0.081749,-0.086794,-0.091785,-0.096721,-0.101603,-0.106433,-0.083575,-0.08845,-0.053769,-0.05875,-0.04926,-0.047474,-0.052409,-0.037289,-0.0324,-0.025664,-0.018625,-0.018949,-0.013819,,,0.005774,0.000278,-0.005158,-0.010536,-0.015856,-0.021118,-0.026325,-0.003213,0.00457,-0.00069,-0.005894,-0.002339,-0.006021,-0.012447,-0.017982,-0.006886,-0.001287,-0.004988,,,0.015087,0.00954,0.004053,-0.001374,-0.006743,-0.012055,-0.01731,-0.003275,0.002724,-0.002526,-0.007721,-0.01089,-0.013745,-0.011636,-0.016069,-0.014573,-0.010327,-0.01281,,,0.033712,0.028063,0.022476,0.016949,0.011482,0.006073,0.000721,0.011197,0.013552,0.008246,0.002994,0.001792,-0.004292,-0.006361,-0.012178,-0.010116,-0.007804,-0.010858
AP.BK,,,,,,,,,,,,,,,0.00238,-0.016666,-0.01926,-0.009674,-0.013704,-0.003437,,,,,,,,,,,,,0.023392,0.018089,-0.002331,0.001284,-0.006755,-0.007234,-0.011723,-0.004264,,,,,,,,,,,,,0.035575,0.030209,0.01057,0.006039,-0.011191,-0.00798,-0.011978,-0.004889,,,,,,,,,,,,-0.002156,0.008609,0.007491,-0.010701,-0.013023,-0.016539,-0.016405,-0.014657,-0.009177,,,,,,,,,,,,,0.016902,0.00162,0.000162,-0.008933,-0.010904,-0.011267,-0.010866,-0.009088,,,,,,,,,,,,,0.015635,0.00428,-0.014978,-0.015797,-0.020104,-0.019897,-0.016717,-0.009652
AURA.BK,,,,,,,,,,-0.016897,-0.014325,0.008514,0.003633,0.003163,0.002979,0.008357,0.002519,-0.003127,-0.011782,-0.007572,,,,,,,,,,-0.051033,-0.028014,-0.004798,-0.004075,-0.006342,-0.004943,0.003004,-0.006807,-0.012669,-0.011705,-0.008472,,,,,,,,,,-0.023724,-0.011142,0.003424,-0.000371,-0.002187,0.001344,0.009559,-0.005418,-0.010936,-0.013511,-0.010705,,,,,0.003201,-0.002221,-0.007586,-0.012893,-0.018143,-0.023339,-0.009508,-0.007852,-0.006846,-0.009881,-0.015325,-0.018572,-0.023836,-0.027421,-0.018171,-0.020291,,,,,-0.007318,-0.012684,-0.017992,-0.023243,-0.028439,-0.033579,-0.020332,-0.022816,-0.022243,-0.022464,-0.009696,-0.010886,-0.016124,-0.019682,-0.014181,-0.017242,,,,,0.006272,0.000832,-0.004548,-0.009872,-0.015138,-0.020349,-0.005509,-0.011757,-0.009288,-0.012587,-0.019096,-0.021716,-0.025661,-0.02964,-0.021858,-0.024073
AWC.BK,,,0.0069,0.001398,-0.004045,-0.046361,-0.051488,-0.05656,-0.061579,-0.066544,0.005002,-0.000259,-0.01566,-0.020107,-0.020985,-0.022908,-0.026967,-0.027689,-0.02906,-0.027094,,,0.001789,-0.003685,-0.0091,-0.052036,-0.057133,-0.062175,-0.067163,-0.072099,-0.015472,-0.020627,-0.039262,-0.037199,-0.035026,-0.027295,-0.030859,-0.026087,-0.027663,-0.025979,,,-0.003322,-0.008769,-0.014156,-0.029262,-0.034481,-0.039644,-0.044752,-0.049807,-0.004161,-0.009375,-0.030925,-0.032068,-0.031365,-0.023514,-0.027437,-0.024731,-0.026063,-0.023822,,,,,,,,,,,-0.031206,-0.00898,0.018976,0.005245,-0.018412,-0.026192,-0.028997,-0.025722,-0.029379,-0.025765,,,,,,,,,,,-0.031206,-0.002691,0.006401,0.003059,-0.014639,-0.026488,-0.030506,-0.02185,-0.025902,-0.022049,,,,,,,,,,,-0.021891,-0.005891,0.012518,0.006394,-0.013493,-0.025156,-0.028149,-0.019577,-0.023576,-0.019535
BA.BK,,,,,,,0.036404,0.004524,-0.000819,-0.006106,-0.004001,-0.0163,-0.007473,-0.010762,-0.015601,-0.003725,-0.005846,-0.010667,-0.017749,-0.012031,,,,,,,-0.008939,-0.041603,-0.046701,-0.051745,-0.036319,-0.038781,-0.014812,-0.015059,-0.018551,-0.013521,-0.015278,-0.020556,-0.023745,-0.019183,,,,,,,0.023449,-0.013388,-0.018636,-0.023829,-0.015492,-0.025445,-0.009366,-0.012154,-0.017688,-0.011292,-0.012866,-0.01781,-0.022908,-0.018411,0.014024,0.008421,0.002881,-0.0026,-0.00802,-0.013382,-0.018687,0.008812,0.0091,0.001609,-0.003662,-0.009241,-0.017586,-0.025363,-0.028989,-0.0313,-0.018849,-0.021746,-0.019156,-0.013445,0.014024,0.008421,0.002881,-0.0026,-0.00802,-0.013382,-0.018687,-0.001674,0.002147,-0.004897,-0.010135,-0.012183,-0.009574,-0.017389,-0.005752,-0.006548,-0.011378,-0.015497,-0.015713,-0.0159,0.014024,0.008421,0.002881,-0.0026,-0.00802,-0.013382,-0.018687,0.005316,-0.000455,-0.009438,-0.014651,-0.01835,-0.016969,-0.019097,-0.005504,-0.008678,-0.012565,-0.016645,-0.019067,-0.017828
BAM.BK,,,,,,,,,,0.015873,0.035877,0.00997,0.00471,-0.010826,-0.016302,-0.017766,-0.012498,-0.014451,-0.017416,-0.016855,,,,,,,,,,0.007407,-0.017176,-0.027351,-0.032417,-0.019429,-0.024765,-0.025558,-0.025709,-0.028368,-0.029545,-0.027317,,,,,,,,,,0.015873,-0.016279,-0.02831,-0.033371,-0.015478,-0.022778,-0.024164,-0.022481,-0.024049,-0.027127,-0.023166,,,,,,,,0.014672,0.009275,0.003934,0.00334,-0.000941,-0.002809,0.000693,-0.002912,-0.007639,-0.011198,-0.008358,-0.01202,-0.013531,,,,,,,-0.002038,-0.002213,-0.00752,-0.012771,-0.014292,-0.018232,-0.023062,-0.017002,-0.020616,-0.023551,-0.02404,-0.020115,-0.018966,-0.020275,,,,,,,-0.016094,-0.010601,-0.015864,-0.021071,-0.024332,-0.02469,-0.029264,-0.016429,-0.020478,-0.022673,-0.024489,-0.015679,-0.016381,-0.017648
